Título,,,,
V: Abastecimiento de agua en la vivienda,,,,
Área Geográfica,,,,
Toda la Base de Datos,,,,
Frecuencia,,,,
  de V: Abastecimiento de agua en la vivienda,,,,
,,,,
,AREA # 0101,"Amazonas, provincia: Chachapoyas",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   10 647,"76,06%","76,06%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 619,"11,57%","87,62%"
,Pilón o pileta de uso público,    184,"1,31%","88,93%"
,Camión - cisterna u otro similar,    49,"0,35%","89,28%"
,Pozo (agua subterránea),    876,"6,26%","95,54%"
,Manantial o puquio,    92,"0,66%","96,20%"
,"Río, acequia, lago, laguna",    488,"3,49%","99,69%"
,Otro,    24,"0,17%","99,86%"
,Vecino,    20,"0,14%","100,00%"
,Total,   13 999,"100,00%","100,00%"
,,,,
,No Aplica :,   7 774,,
,,,,
,AREA # 0102,"Amazonas, provincia: Bagua",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   9 429,"48,30%","48,30%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   4 392,"22,50%","70,80%"
,Pilón o pileta de uso público,    793,"4,06%","74,87%"
,Camión - cisterna u otro similar,    59,"0,30%","75,17%"
,Pozo (agua subterránea),   1 792,"9,18%","84,35%"
,Manantial o puquio,    270,"1,38%","85,73%"
,"Río, acequia, lago, laguna",   2 648,"13,57%","99,30%"
,Otro,    56,"0,29%","99,59%"
,Vecino,    81,"0,41%","100,00%"
,Total,   19 520,"100,00%","100,00%"
,,,,
,No Aplica :,   5 371,,
,,,,
,AREA # 0103,"Amazonas, provincia: Bongara",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   4 569,"62,52%","62,52%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   1 497,"20,48%","83,00%"
,Pilón o pileta de uso público,    215,"2,94%","85,95%"
,Pozo (agua subterránea),    474,"6,49%","92,43%"
,Manantial o puquio,    67,"0,92%","93,35%"
,"Río, acequia, lago, laguna",    388,"5,31%","98,66%"
,Otro,    61,"0,83%","99,49%"
,Vecino,    37,"0,51%","100,00%"
,Total,   7 308,"100,00%","100,00%"
,,,,
,No Aplica :,   3 648,,
,,,,
,AREA # 0104,"Amazonas, provincia: Condorcanqui",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   1 307,"13,45%","13,45%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",    867,"8,92%","22,38%"
,Pilón o pileta de uso público,   1 003,"10,32%","32,70%"
,Camión - cisterna u otro similar,    2,"0,02%","32,72%"
,Pozo (agua subterránea),   2 564,"26,39%","59,11%"
,Manantial o puquio,    431,"4,44%","63,54%"
,"Río, acequia, lago, laguna",   3 428,"35,28%","98,83%"
,Otro,    80,"0,82%","99,65%"
,Vecino,    34,"0,35%","100,00%"
,Total,   9 716,"100,00%","100,00%"
,,,,
,No Aplica :,   2 616,,
,,,,
,AREA # 0105,"Amazonas, provincia: Luya",,
,,,,
,V: Abastecimiento de agua en la vivienda,Casos,%,Acumulado %
,Red pública dentro de la vivienda,   7 172,"56,22%","56,22%"
,"Red pública fuera de la vivienda, pero dentro de la edificación",   3 097,"24,28%","80,50%"
,Pilón o pileta de uso público,   1 112,"8,72%","89,21%"
,Pozo (agua subterránea),    819,"6,42%","95,63%"
,Manantial o puquio,    132,"1,03%","96,67%"
