PROVINCIA - DEPARTAMENTO,PROVINCIA,REGIÓN,MACRORREGIÓN,PUNTAJE INCO 2024,PUNTAJE INCO 2023,PUNTAJE INCO 2022,N_RANKING,RANGO_PUNTAJE,
JORGE BASADRE-TACNA,JORGE BASADRE,TACNA,SUR,61.7,59.3,60.4,1,Alto,
ZARUMILLA-TUMBES,ZARUMILLA,TUMBES,NORTE,51.8,41.2,47.5,2,Mediano alto,
CASMA-ANCASH,CASMA,ANCASH,CENTRO,51.4,46.8,52.5,3,Mediano alto,
MARISCAL NIETO-MOQUEGUA,MARISCAL NIETO,MOQUEGUA,SUR,50.5,60.8,61.2,4,Mediano alto,
CONTRALMIRANTE VILLAR-TUMBES,CONTRALMIRANTE VILLAR,TUMBES,NORTE,49.8,44.4,51,5,Mediano alto,
PIURA-PIURA,PIURA,PIURA,NORTE,49.3,66.7,65.8,6,Mediano alto,
TAMBOPATA-MADRE DE DIOS,TAMBOPATA,MADRE DE DIOS,SUR,48.7,51.2,54.9,7,Mediano alto,
VIRU-LA LIBERTAD,VIRU,LA LIBERTAD,NORTE,47.8,52.1,50.8,8,Mediano alto,
AREQUIPA-AREQUIPA,AREQUIPA,AREQUIPA,SUR,47.4,59.5,61.6,9,Mediano alto,
TACNA-TACNA,TACNA,TACNA,SUR,47.2,58.4,60.3,10,Mediano alto,
ATALAYA-UCAYALI,ATALAYA,UCAYALI,CENTRO,45.9,45.7,54.3,11,Mediano alto,
CALLAO-CALLAO,CALLAO,CALLAO,LIMA Y CALLAO,45.5,62.3,64.1,12,Mediano alto,
TALARA-PIURA,TALARA,PIURA,NORTE,45.4,43.9,47.9,13,Mediano alto,
LAMBAYEQUE-LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,NORTE,45.2,55.1,52.1,14,Mediano alto,
ILO-MOQUEGUA,ILO,MOQUEGUA,SUR,45,57.2,56.1,15,Medio,
CHEPEN-LA LIBERTAD,CHEPEN,LA LIBERTAD,NORTE,44.6,45,38.5,16,Medio,
PACASMAYO-LA LIBERTAD,PACASMAYO,LA LIBERTAD,NORTE,43.4,41.5,39,17,Medio,
MAYNAS-LORETO,MAYNAS,LORETO,NORTE,43,69.1,72.8,18,Medio,
FERREÑAFE-LAMBAYEQUE,FERREÑAFE,LAMBAYEQUE,NORTE,42.9,51.2,39.6,19,Medio,
COTABAMBAS-APURIMAC,COTABAMBAS,APURIMAC,SUR,42.8,50.7,52.8,20,Medio,
ICA-ICA,ICA,ICA,CENTRO,42.7,58,56.2,21,Medio,
CAJAMARCA-CAJAMARCA,CAJAMARCA,CAJAMARCA,NORTE,42.5,58.1,61,22,Medio,
SULLANA-PIURA,SULLANA,PIURA,NORTE,42.2,55.3,51.5,23,Medio,
HUAURA-LIMA PROVINCIAS,HUAURA,LIMA PROVINCIAS,CENTRO,42,58.5,59.7,24,Medio,
SECHURA-PIURA,SECHURA,PIURA,NORTE,42,46.8,44.5,24,Medio,
EL DORADO-SAN MARTIN,EL DORADO,SAN MARTIN,NORTE,41.9,41.9,36,26,Medio,
TUMBES-TUMBES,TUMBES,TUMBES,NORTE,41.9,60,59.8,26,Medio,
CALCA-CUSCO,CALCA,CUSCO,SUR,41.7,45.7,45,28,Medio,
CORONEL PORTILLO-UCAYALI,CORONEL PORTILLO,UCAYALI,CENTRO,41.7,53.5,60.3,28,Medio,
MOYOBAMBA-SAN MARTIN,MOYOBAMBA,SAN MARTIN,NORTE,41.6,60.5,62.6,30,Medio,
CUSCO-CUSCO,CUSCO,CUSCO,SUR,41.5,56.8,53.9,31,Medio,
TRUJILLO-LA LIBERTAD,TRUJILLO,LA LIBERTAD,NORTE,41.5,55,55.9,31,Medio,
LIMA METROPOLITANA-LIMA METROPOLITANA,LIMA METROPOLITANA,LIMA METROPOLITANA,LIMA Y CALLAO,41.3,56.4,57.3,33,Medio,
CAMANA-AREQUIPA,CAMANA,AREQUIPA,SUR,40.9,43.9,47.1,34,Medio,
SANTA-ANCASH,SANTA,ANCASH,CENTRO,40.9,52.8,57.2,34,Medio,
HUALGAYOC-CAJAMARCA,HUALGAYOC,CAJAMARCA,NORTE,40.7,45.2,48.2,36,Medio,
NAZCA-ICA,NAZCA,ICA,CENTRO,40.4,50.2,40.7,37,Medio,
PAUCARTAMBO-CUSCO,PAUCARTAMBO,CUSCO,SUR,40.4,43.5,31,37,Medio,
CAJABAMBA-CAJAMARCA,CAJABAMBA,CAJAMARCA,NORTE,40.2,44.8,50.5,39,Medio,
HUARI-ANCASH,HUARI,ANCASH,CENTRO,40.2,55.1,53.6,39,Medio,
LORETO-LORETO,LORETO,LORETO,NORTE,40.2,40.4,48.3,39,Medio,
SAN ROMAN-PUNO,SAN ROMAN,PUNO,SUR,40.2,55.8,44.5,39,Medio,
CHANCHAMAYO-JUNIN,CHANCHAMAYO,JUNIN,CENTRO,40.1,43.5,43.6,43,Medio,
ALTO AMAZONAS-LORETO,ALTO AMAZONAS,LORETO,NORTE,40,46.6,48.2,44,Medio,
PISCO-ICA,PISCO,ICA,CENTRO,40,46.3,41.6,44,Medio,
ESPINAR-CUSCO,ESPINAR,CUSCO,SUR,39.7,47.7,52.5,46,Medio,
CANGALLO-AYACUCHO,CANGALLO,AYACUCHO,SUR,38.8,35.1,35.8,47,Medio,
HUAMANGA-AYACUCHO,HUAMANGA,AYACUCHO,SUR,38.8,55.9,60.5,47,Medio,
HUANUCO-HUANUCO,HUANUCO,HUANUCO,CENTRO,38.8,51.3,56.3,47,Medio,
SAN MARTIN-SAN MARTIN,SAN MARTIN,SAN MARTIN,NORTE,38.8,53.5,52,47,Medio,
LA CONVENCION-CUSCO,LA CONVENCION,CUSCO,SUR,38.6,50.9,53.1,51,Medio,
CHICLAYO-LAMBAYEQUE,CHICLAYO,LAMBAYEQUE,NORTE,38.4,51.5,51.1,52,Medio,
PADRE ABAD-UCAYALI,PADRE ABAD,UCAYALI,CENTRO,38.4,42.3,44,52,Medio,
PAITA-PIURA,PAITA,PIURA,NORTE,37.8,43.8,48,54,Medio,
PURUS-UCAYALI,PURUS,UCAYALI,CENTRO,37.6,30.4,32.4,55,Medio,
SATIPO-JUNIN,SATIPO,JUNIN,CENTRO,37.5,49.6,47.8,56,Medio,
PASCO-PASCO,PASCO,PASCO,CENTRO,37.3,52.6,54.8,57,Medio,
ASCOPE-LA LIBERTAD,ASCOPE,LA LIBERTAD,NORTE,37.2,47.2,45.3,58,Medio,
JULCAN-LA LIBERTAD,JULCAN,LA LIBERTAD,NORTE,37.2,37.4,44.1,58,Medio,
CAÑETE-LIMA PROVINCIAS,CAÑETE,LIMA PROVINCIAS,CENTRO,37.1,41.5,39.4,60,Medio,
BAGUA-AMAZONAS,BAGUA,AMAZONAS,NORTE,36.9,27.9,36.3,61,Medio,
ABANCAY-APURIMAC,ABANCAY,APURIMAC,SUR,36.5,56.9,52.9,62,Medio,
ISLAY-AREQUIPA,ISLAY,AREQUIPA,SUR,36.5,46,50.3,62,Medio,
AYABACA-PIURA,AYABACA,PIURA,NORTE,36.1,47.8,47.3,64,Medio,
CARLOS FERMIN FITZCARRALD-ANCASH,CARLOS FERMIN FITZCARRALD,ANCASH,CENTRO,36,41.9,41.6,65,Medio,
DATEM DEL MARAÑON-LORETO,DATEM DEL MARAÑON,LORETO,NORTE,36,35.1,36.6,65,Medio,
HUARAZ-ANCASH,HUARAZ,ANCASH,CENTRO,35.8,63.8,62.7,67,Medio,
RIOJA-SAN MARTIN,RIOJA,SAN MARTIN,NORTE,35.8,37.4,39.1,67,Medio,
PACHITEA-HUANUCO,PACHITEA,HUANUCO,CENTRO,35.7,33,35.2,69,Medio,
BARRANCA-LIMA PROVINCIAS,BARRANCA,LIMA PROVINCIAS,CENTRO,35.5,54.4,51.5,70,Medio,
CHINCHA-ICA,CHINCHA,ICA,CENTRO,35.5,42.6,39.7,70,Medio,
HUARMEY-ANCASH,HUARMEY,ANCASH,CENTRO,35.1,44.1,49.1,72,Medio,
UCAYALI-LORETO,UCAYALI,LORETO,NORTE,35.1,48.1,56,72,Medio,
AIJA-ANCASH,AIJA,ANCASH,CENTRO,35,35.7,33.5,74,Medio,
SAN IGNACIO-CAJAMARCA,SAN IGNACIO,CAJAMARCA,NORTE,34.8,44.6,42.4,75,Medio,
HUANCABAMBA-PIURA,HUANCABAMBA,PIURA,NORTE,34.7,38.4,43.6,76,Medio,
OTUZCO-LA LIBERTAD,OTUZCO,LA LIBERTAD,NORTE,34.7,41.3,47.1,76,Medio,
CHUMBIVILCAS-CUSCO,CHUMBIVILCAS,CUSCO,SUR,34.4,35.7,43,78,Medio,
GRAN CHIMU-LA LIBERTAD,GRAN CHIMU,LA LIBERTAD,NORTE,34.3,38.6,40.6,79,Medio,
TOCACHE-SAN MARTIN,TOCACHE,SAN MARTIN,NORTE,34.2,34.9,38.4,80,Medio,
MARISCAL RAMON CASTILLA-LORETO,MARISCAL RAMON CASTILLA,LORETO,NORTE,34,29.3,32.1,81,Medio,
QUISPICANCHI-CUSCO,QUISPICANCHI,CUSCO,SUR,34,37.8,42.6,81,Medio,
SANCHEZ CARRION-LA LIBERTAD,SANCHEZ CARRION,LA LIBERTAD,NORTE,33.9,40.4,41,83,Medio,
LAMAS-SAN MARTIN,LAMAS,SAN MARTIN,NORTE,33.8,39.9,37.4,84,Medio,
LEONCIO PRADO-HUANUCO,LEONCIO PRADO,HUANUCO,CENTRO,33.8,46.5,37.5,84,Medio,
HUANCAYO-JUNIN,HUANCAYO,JUNIN,CENTRO,33.7,67.3,59.5,86,Medio,
PUNO-PUNO,PUNO,PUNO,SUR,33.6,63.3,60.9,87,Medio,
YUNGAY-ANCASH,YUNGAY,ANCASH,CENTRO,33.6,41.2,47.7,87,Medio,
BOLIVAR-LA LIBERTAD,BOLIVAR,LA LIBERTAD,NORTE,33.5,32,36.8,89,Medio,
EL COLLAO-PUNO,EL COLLAO,PUNO,SUR,33.2,44.5,48.3,90,Medio,
URUBAMBA-CUSCO,URUBAMBA,CUSCO,SUR,33.2,36.6,36.8,90,Medio,
MORROPON-PIURA,MORROPON,PIURA,NORTE,33.1,43.5,43.4,92,Medio,
ACOBAMBA-HUANCAVELICA,ACOBAMBA,HUANCAVELICA,CENTRO,32.9,40.2,44.9,93,Medio,
OYON-LIMA PROVINCIAS,OYON,LIMA PROVINCIAS,CENTRO,32.7,32,39.8,94,Medio,
SANTA CRUZ-CAJAMARCA,SANTA CRUZ,CAJAMARCA,NORTE,32.6,38.4,38.7,95,Medio,
MARISCAL CACERES-SAN MARTIN,MARISCAL CACERES,SAN MARTIN,NORTE,32.4,42.2,38.3,96,Medio,
PALPA-ICA,PALPA,ICA,CENTRO,32.4,38.2,31.8,96,Medio,
AMBO-HUANUCO,AMBO,HUANUCO,CENTRO,32.3,44.1,42.5,98,Medio,
BELLAVISTA-SAN MARTIN,BELLAVISTA,SAN MARTIN,NORTE,32.3,39.4,39.7,98,Medio,
SANTIAGO DE CHUCO-LA LIBERTAD,SANTIAGO DE CHUCO,LA LIBERTAD,NORTE,32.2,37.3,45.2,100,Medio,
OXAPAMPA-PASCO,OXAPAMPA,PASCO,CENTRO,32.1,34.4,34.5,101,Medio,
CARAVELI-AREQUIPA,CARAVELI,AREQUIPA,SUR,31.9,32.2,34.8,102,Medio,
HUANCAVELICA-HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,CENTRO,31.9,57.9,57.9,102,Medio,
JUNIN-JUNIN,JUNIN,JUNIN,CENTRO,31.8,44.2,49.2,104,Medio,
SAN PABLO-CAJAMARCA,SAN PABLO,CAJAMARCA,NORTE,31.8,37.4,46.2,104,Medio,
POMABAMBA-ANCASH,POMABAMBA,ANCASH,CENTRO,31.6,34,39.6,106,Medio,
CANDARAVE-TACNA,CANDARAVE,TACNA,SUR,31.5,31.2,34.5,107,Medio,
UTCUBAMBA-AMAZONAS,UTCUBAMBA,AMAZONAS,NORTE,31.4,49.9,57.6,108,Medio,
PUTUMAYO-LORETO,PUTUMAYO,LORETO,NORTE,31.2,28.4,43.2,109,Medio,
CHINCHEROS-APURIMAC,CHINCHEROS,APURIMAC,SUR,30.9,40.3,46.9,110,Medio,
MELGAR-PUNO,MELGAR,PUNO,SUR,30.9,42.5,43,110,Medio,
CANAS-CUSCO,CANAS,CUSCO,SUR,30.6,28.5,28.3,112,Medio,
REQUENA-LORETO,REQUENA,LORETO,NORTE,30.6,40.8,39.8,112,Medio,
PARURO-CUSCO,PARURO,CUSCO,SUR,30.5,30.2,27.1,114,Medio,
CANCHIS-CUSCO,CANCHIS,CUSCO,SUR,30.4,44.9,41.6,115,Medio,
MARISCAL LUZURIAGA-ANCASH,MARISCAL LUZURIAGA,ANCASH,CENTRO,30.1,35.5,39.5,116,Medio,
JAEN-CAJAMARCA,JAEN,CAJAMARCA,NORTE,30,46.9,45.7,117,Moderado,
PICOTA-SAN MARTIN,PICOTA,SAN MARTIN,NORTE,29.9,40.1,35.2,118,Moderado,
SAN ANTONIO DE PUTINA-PUNO,SAN ANTONIO DE PUTINA,PUNO,SUR,29.9,39.1,32.8,118,Moderado,
LAURICOCHA-HUANUCO,LAURICOCHA,HUANUCO,CENTRO,29.8,38.9,37,120,Moderado,
HUANCA SANCOS-AYACUCHO,HUANCA SANCOS,AYACUCHO,SUR,29.6,21.1,36.4,121,Moderado,
PUERTO INCA-HUANUCO,PUERTO INCA,HUANUCO,CENTRO,29.5,22.6,26.9,122,Moderado,
