Título,,,,
H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),,,,
Área Geográfica,,,,
Toda la Base de Datos,,,,
Frecuencia,,,,
  de H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),,,,
,,,,
,AREA # 0101,"Amazonas, provincia: Chachapoyas",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   15 337,"100,00%","100,00%"
,Total,   15 337,"100,00%","100,00%"
,,,,
,No Aplica :,    147,,
,,,,
,AREA # 0102,"Amazonas, provincia: Bagua",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   20 474,"100,00%","100,00%"
,Total,   20 474,"100,00%","100,00%"
,,,,
,No Aplica :,    102,,
,,,,
,AREA # 0103,"Amazonas, provincia: Bongara",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   7 813,"100,00%","100,00%"
,Total,   7 813,"100,00%","100,00%"
,,,,
,No Aplica :,    41,,
,,,,
,AREA # 0104,"Amazonas, provincia: Condorcanqui",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   9 867,"100,00%","100,00%"
,Total,   9 867,"100,00%","100,00%"
,,,,
,No Aplica :,    63,,
,,,,
,AREA # 0105,"Amazonas, provincia: Luya",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   13 202,"100,00%","100,00%"
,Total,   13 202,"100,00%","100,00%"
,,,,
,No Aplica :,    50,,
,,,,
,AREA # 0106,"Amazonas, provincia: Rodríguez de Mendoza",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   9 168,"100,00%","100,00%"
,Total,   9 168,"100,00%","100,00%"
,,,,
,No Aplica :,    33,,
,,,,
,AREA # 0107,"Amazonas, provincia: Utcubamba",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   31 503,"100,00%","100,00%"
,Total,   31 503,"100,00%","100,00%"
,,,,
,No Aplica :,    86,,
,,,,
,AREA # 0201,"Áncash, provincia: Huaraz",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   46 254,"100,00%","100,00%"
,Total,   46 254,"100,00%","100,00%"
,,,,
,No Aplica :,    194,,
,,,,
,AREA # 0202,"Áncash, provincia: Aija",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
,No usa gas natural,   2 005,"100,00%","100,00%"
,Total,   2 005,"100,00%","100,00%"
,,,,
,No Aplica :,    16,,
,,,,
,AREA # 0203,"Áncash, provincia: Antonio Raymondi",,
,,,,
,H: La energía o combustible que utiliza para cocinar: gas natural (sistema de tuberías),Casos,%,Acumulado %
