"PERÚ: POBLACIÓN TOTAL PROYECTADA AL 30 DE JUNIO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, 2018 - 2022",,,,,,
UBIGEO,"DEPARTAMENTO, PROVINCIA Y DISTRITO",2018,2019,2020,2021,2022
,,,,,,
,,,,,,
000000,PERÚ,31 562 130,32 131 400,32 625 948,33 035 304,33 396 698
,,,,,,
010000,AMAZONAS, 419 833, 423 863, 426 806, 428 512, 429 483
010100,CHACHAPOYAS, 61 078, 62 207, 63 188, 63 661, 64 058
010101,CHACHAPOYAS, 36 602, 37 870, 39 051, 39 691, 40 274
010102,ASUNCIÓN,  283,  281,  278,  277,  276
010103,BALSAS, 1 222, 1 202, 1 180, 1 169, 1 158
010104,CHETO,  687,  696,  702,  705,  707
010105,CHILIQUIN,  619,  604,  589,  581,  575
010106,CHUQUIBAMBA, 1 970, 1 955, 1 933, 1 922, 1 910
010107,GRANADA,  523,  532,  539,  541,  543
010108,HUANCAS, 1 334, 1 395, 1 456, 1 481, 1 500
010109,LA JALCA, 4 187, 4 080, 3 966, 3 834, 3 697
010110,LEIMEBAMBA, 3 862, 3 845, 3 815, 3 799, 3 781
010111,LEVANTO,  830,  817,  803,  796,  789
010112,MAGDALENA,  913,  913,  911,  910,  906
010113,MARISCAL CASTILLA, 1 474, 1 507, 1 534, 1 561, 1 586
010114,MOLINOPAMPA, 2 320, 2 296, 2 266, 2 251, 2 235
010115,MONTEVIDEO,  519,  503,  487,  479,  472
010116,OLLEROS,  422,  429,  435,  438,  441
010117,QUINJALCA,  819,  807,  792,  785,  778
010118,SAN FRANCISCO DE DAGUAS,  321,  323,  323,  325,  326
010119,SAN ISIDRO DE MAINO,  608,  599,  590,  585,  581
010120,SOLOCO, 1 293, 1 279, 1 261, 1 252, 1 243
010121,SONCHE,  270,  274,  277,  279,  280
010200,BAGUA, 82 816, 83 850, 84 672, 85 375, 85 835
010201,BAGUA , 29 096, 29 540, 29 905, 30 240, 30 479
010202,ARAMANGO, 10 422, 10 300, 10 149, 10 049, 9 919
010203,COPALLÍN, 4 903, 4 787, 4 660, 4 563, 4 452
010204,EL PARCO, 1 294, 1 292, 1 287, 1 281, 1 273
010205,IMAZA, 30 392, 31 300, 32 136, 32 789, 33 338
010206,LA PECA , 6 709, 6 631, 6 535, 6 453, 6 374
010300,BONGARÁ, 27 042, 26 972, 26 830, 26 655, 26 449
010301,JUMBILLA, 1 373, 1 354, 1 332, 1 309, 1 283
010302,CHISQUILLA,  323,  321,  319,  317,  313
010303,CHURUJA,  299,  301,  301,  300,  298
010304,COROSHA,  810,  819,  825,  831,  835
010305,CUISPES,  702,  694,  684,  673,  662
010306,FLORIDA, 6 400, 6 409, 6 397, 6 380, 6 353
010307,JAZÁN, 8 035, 7 994, 7 931, 7 855, 7 774
010308,RECTA,  220,  219,  218,  215,  216
010309,SAN CARLOS,  519,  535,  551,  565,  579
010310,SHIPASBAMBA, 1 630, 1 656, 1 678, 1 698, 1 716
010311,VALERA,  898,  868,  837,  806,  775
010312,YAMBRASBAMBA, 5 833, 5 802, 5 757, 5 706, 5 645
